PV plant,Center (Cliente),State,Cluster,ID client,ID subclient,ID plant,RPU,End installation date,Days after installation,Commercial operation date,COD Status,Actual 2025,Actual Jan '25 (kWh),Actual Feb '25 (kWh),Actual Mar '25 (kWh),Actual Apr '25 (kWh),Actual May '25 (kWh),Actual Jun '25 (kWh),Actual Jul '25 (kWh),Actual Aug '25 (kWh),Actual Sep '25 (kWh),Actual Oct '25 (kWh),Actual Nov '25 (kWh),Actual Dec '25 (kWh)
"Paseo Monclova, Áreas Comunes",Paseo Monclova,Coahuila,"Paseo Monclova, Coahuila",42,1,"42,1",369200602963,20/02/2020,"2,163",10-mar-20,Operating,"845,372.0","57,459.0","65,783.0 ","79,149.0 ","87,293.0","85,767.0","89,280.0","86,037.0","84,804.0","64,042.0","66,893.0","50,499.0","28,366.0 "
"Paseo Monclova, Cinépolis",Paseo Monclova,Coahuila,"Paseo Monclova, Coahuila",35,1,"35,1",369190303580,11/11/2019,"2,264",26-nov-19,Operating,"355,028.0","18,575.0","23,212.0 ","29,342.0 ","39,414.0","34,806.0","45,633.0","45,092.0","46,762.0","29,105.0","24,193.0","11,826.0","7,068.0 "
"Paseo Monclova, Merco",Paseo Monclova,Coahuila,"Paseo Monclova, Coahuila",50,1,"50,1",369190400241,09/07/2020,"2,023",09-jul-20,Operating,"855,681.3","46,471.2","61,437.2 ","80,890.6 ","84,339.8","80,631.6","93,680.5","91,174.8","89,877.9","73,999.1","70,035.1","47,465.1","35,678.4 "
"Plaza Acaya Mazatlan, Cinépolis",Cinepolis,Sinaloa,"Cinepolis, Sinaloa",0,0,",",533141202110,00/01/1900,"46,044",00-ene-00,Operating,"332,166.5",,,,,,"51,834.0","61,706.9","55,701.7","49,637.0","50,618.3","39,287.7","23,380.9"
"Plaza Carmen Center, Áreas Comunes 1",Plaza Carmen Center,Campeche,"Plaza Carmen Center, Campeche",36,7,"36,7",795160203504,06/01/2020,"2,208",19-mar-20,Operating,"315,203.0","21,561.0","22,996.0 ","29,442.0 ","29,758.0","31,283.0","25,278.0","31,602.0","30,794.0","27,105.0","23,355.0","21,705.0","20,324.0 "
"Plaza La Roca, Áreas Comunes",Plaza La Roca,Quintana Roo,"Plaza La Roca, Quintana Roo",36,4,"36,4",780141204039,01/10/2019,"2,305",26-dic-19,Operating,"162,972.0","11,492.0","14,225.0 ","16,722.0 ","18,695.0","20,031.0","17,822.0",692.0,"12,765.0","11,738.0","14,279.0","12,073.0","12,438.0 "
"Plaza Las Américas, Áreas Comunes 1",Plaza Las Américas,Michoacán,"Plaza Las Américas, Michoacán",35,6,"35,6",169111106333,04/04/2020,"2,119",24-jul-20,Operating,"163,542.0","11,289.0","11,659.0 ","16,805.0 ","15,325.0","12,711.0","13,861.0","16,482.0","16,765.0","14,748.0","13,876.0","11,203.0","8,818.0 "
"Plaza Las Américas, Áreas Comunes 2",Plaza Las Américas,Michoacán,"Plaza Las Américas, Michoacán",35,7,"35,7",169120901928,04/04/2020,"2,119",03-sep-20,Operating,"425,961.0","30,775.0","31,332.0 ","44,590.0 ","39,352.0","30,307.0","32,412.0","43,090.0","44,074.0","38,697.0","36,661.0","29,842.0","24,829.0 "
"Plaza Las Américas, Cinépolis",Plaza Las Américas,Michoacán,"Plaza Las Américas, Michoacán",35,3,"35,3",169120307562,04/04/2020,"2,119",04-abr-20,Operating,"275,904.0","26,090.0","26,648.0 ","38,375.0 ","34,909.0","29,434.0","23,862.0",0.0,"24,071.0","31,555.0","8,757.0","11,103.0","21,100.0 "
Poliuretanos,Poliuretanos,Edo. México,"Poliuretanos, Edo. México",0,0,"0,0",332101002627,22/12/2023,762,15-dic-23,Operating,"397,931.8","40,724.7","34,576.1","48,026.8 ","58,003.0","50,356.6","39,112.8","49,088.0","20,211.5","8,579.0","8,110.9","12,673.8","28,468.6"
Poliuretanos 2,Poliuretanos,Edo. México,"Poliuretanos, Edo. México",0,0,"0,0",336880701175,00/01/1900,"46,044",10-abr-25,Operating,"181,829.4",,,,0.0,"18,001.0","22,157.3","29,011.9","26,275.9","24,467.0","20,797.9","21,437.9","19,680.5 "
